days,date,streamflow,precip,temp_min,temp_max,humidity_spec,radiation_sw
134,2017-05-14,0.9787987,1.89,1.335,11.652,0.00422096252441406,208.3125
135,2017-05-15,1.052836,0,1.941,11.932,0.00547885894775391,131.375
136,2017-05-16,1.208012,0.29,2.083,8.604,0.00564098358154297,151.4375
137,2017-05-17,1.585933,8.19,3.758,14.53,0.00550365447998047,25.625
138,2017-05-18,2.338597,9.89,6.272,11.634,0.00688743591308594,240.5625
139,2017-05-19,3.517998,14.97,1.306,16.578,0.00672054290771484,15.375
140,2017-05-20,3.152757,0,4.757,13.384,0.00706768035888672,216.5
141,2017-05-21,2.616484,5.13,5.559,11.839,0.00623798370361328,116.875
142,2017-05-22,2.158106,0,0.978,11.17,0.00565242767333984,218.625
143,2017-05-23,1.759919,0,-1.918,16.032,0.00436782836914063,255.1875
144,2017-05-24,1.444648,0,2.591,13.478,0.00507831573486328,296.125
145,2017-05-25,1.201157,0,3.511,13.135,0.00494384765625,236.625
146,2017-05-26,1.02677,0,6.952,17.701,0.00603675842285156,188.6875
147,2017-05-27,0.8773462,0,6.726,21.419,0.00699424743652344,288.4375
148,2017-05-28,0.7728305,0,4.249,20.296,0.00682830810546875,311.1875
149,2017-05-29,0.7787858,9.46,5.797,18.737,0.00777339935302734,222.25
150,2017-05-30,0.7727694,0.75,8.187,14.622,0.00874805450439453,138.5
151,2017-05-31,0.7226357,0.02,4.029,11.881,0.00660896301269531,137.125
152,2017-06-01,0.6414135,0,-1.228,11.217,0.00439834594726563,218.125
153,2017-06-02,0.5731568,0,4.053,8.952,0.00382709503173828,307.6875
154,2017-06-03,0.5527753,5.19,4.53,12.789,0.00545406341552734,74.4375
155,2017-06-04,0.5564818,6.66,7.188,12.94,0.00711727142333984,140.875
156,2017-06-05,0.5527753,3.71,3.721,12.738,0.00677680969238281,74.5625
157,2017-06-06,0.5508136,1.72,4.433,12.203,0.00521659851074219,254.8125
158,2017-06-07,0.6482849,5.35,7.017,10.854,0.00689411163330078,80.125
159,2017-06-08,1.175257,22.86,5.683,10.221,0.00609111785888672,38.4375
160,2017-06-09,1.47264,5.11,5.122,9.694,0.00622940063476563,64.125
161,2017-06-10,1.710884,16.04,7.944,12.469,0.00703239440917969,42.1875
162,2017-06-11,1.92812,4.02,4.277,15.005,0.00728225708007813,94.875
163,2017-06-12,1.702774,0.31,4.769,14.681,0.00761890411376953,122.5
164,2017-06-13,1.399219,0.06,7.095,15.269,0.00660133361816406,206.8125
165,2017-06-14,1.135918,0,2.998,16.108,0.00579357147216797,212.8125
166,2017-06-15,0.9364186,0,3.699,16.301,0.00581073760986328,251
167,2017-06-16,0.8675534,9.27,8.42,14.405,0.00679874420166016,181.1875
168,2017-06-17,0.8345605,0.92,2.832,18.432,0.00675010681152344,83.3125
169,2017-06-18,0.7457908,0,8.793,15.536,0.0069732666015625,244.6875
170,2017-06-19,0.6551254,0,6.115,13.058,0.00594234466552734,242.6875
171,2017-06-20,0.590113,3.14,3.488,11.183,0.00517368316650391,249.875
172,2017-06-21,0.5240489,0,2.806,14.086,0.00446510314941406,278.6875
173,2017-06-22,0.4684548,0,5.249,13.37,0.00471401214599609,314.25
174,2017-06-23,0.4655709,0.13,5.819,13.209,0.006134033203125,180.3125
175,2017-06-24,0.5267232,11.83,4.414,12.766,0.00745582580566406,51.75
176,2017-06-25,0.5174574,0,0.698,11.038,0.00431156158447266,263.3125
177,2017-06-26,0.4881974,3.71,4.117,12.196,0.00546550750732422,191.1875
178,2017-06-27,0.4402661,0,0.192,16.111,0.00437259674072266,265.4375
179,2017-06-28,0.3881163,0,1.912,16.389,0.00393962860107422,339.25
180,2017-06-29,0.3464993,0,2.785,15.232,0.00469017028808594,296.125
181,2017-06-30,0.3131534,0,1.55,19.848,0.00444889068603516,196.6875
182,2017-07-01,0.280984,0,3.689,21.068,0.0047454833984375,346.375
183,2017-07-02,0.2511615,0,8.966,17.197,0.00638866424560547,263.3125
184,2017-07-03,0.2256403,0,5.896,14.511,0.00560951232910156,245
185,2017-07-04,0.2110708,3.01,4.497,15.056,0.00582599639892578,244.875
186,2017-07-05,0.1972195,0,0.957,16.069,0.00460720062255859,265.0625
187,2017-07-06,0.1809508,0,0.707,17.647,0.00454425811767578,266.5
188,2017-07-07,0.168363,0,4.27,15.949,0.00501918792724609,250.25
189,2017-07-08,0.1726129,8.13,8.879,16.627,0.00683021545410156,223.0625
190,2017-07-09,0.1643209,0.02,2.985,13.659,0.00693798065185547,152.125
191,2017-07-10,0.1578533,0.19,5.691,15.645,0.00591850280761719,165.125
192,2017-07-11,0.1624728,1.46,7.245,15.547,0.00700283050537109,172.375
193,2017-07-12,0.1866556,9.89,5.537,12.952,0.007476806640625,169.8125
194,2017-07-13,0.1809508,0.27,2.225,13.233,0.00534629821777344,188.8125
195,2017-07-14,0.16931,0,0.852,16.097,0.00461769104003906,255.6875
196,2017-07-15,0.1574492,0,1.9,18.886,0.00502204895019531,273.8125
197,2017-07-16,0.1546196,2,8.818,16.157,0.00657558441162109,269.0625
198,2017-07-17,0.1442678,0,2.739,11.586,0.00543594360351563,194.4375
199,2017-07-18,0.1350518,0.09,5.417,15.121,0.00526618957519531,227.6875
200,2017-07-19,0.1263085,0,0.327,19.652,0.00473976135253906,261.4375
201,2017-07-20,0.117877,0,3.869,21.058,0.00576686859130859,312.8125
202,2017-07-21,0.1108841,0,3.945,18.138,0.00623035430908203,313.25
203,2017-07-22,0.1068581,0,9.11,15.1,0.00686740875244141,181.8125
204,2017-07-23,0.1023265,0,5.269,20.402,0.00638484954833984,246.25
205,2017-07-24,0.1117101,4.87,9.873,17.918,0.00683403015136719,217.9375
206,2017-07-25,0.1242706,11.39,8.878,18.88,0.00830650329589844,148
207,2017-07-26,0.1229118,0.33,7.58,17.987,0.00703144073486328,209.375
208,2017-07-27,0.1212136,0.48,9.016,15.085,0.00803756713867188,113.625
209,2017-07-28,0.1427831,15.49,7.776,14.809,0.00775909423828125,41.3125
